"","gender","age_mos","startClockTime","endClockTime","startTimeSecs","endTimeSecs","child_id","filename","corpus","startTimestamp","endTimeStamp","date","startClockHours","startClockMinutes","startClockSeconds","endClockHours","endClockMinutes","endClockSeconds","total_hrs","startClockTotalSeconds"
"1","FALSE","30","2013-08-22T13:09:11Z","2013-08-23T05:09:10Z","0.00S","57599.99S","001LTP1","/Users/megcychosz/Library/CloudStorage/Box-Box/box-group-lena-studies/Soundscape/wavFiles/001LTP1.its","L",2013-08-22 08:09:11,2013-08-23 00:09:10,2013-08-22,8,9,11,0,9,10,16,29351
"2","FALSE","51","2013-11-10T13:10:54Z","2013-11-11T05:10:53Z","0.00S","57599.99S","002LTP2","002LTP2.its","L",2013-11-10 07:10:54,2013-11-10 23:10:53,2013-11-10,7,10,54,23,10,53,16,25854
"3","M","33","2013-01-06T12:53:45Z","2013-01-07T04:53:44Z","0.00S","57599.99S","005LTP1","/Users/megcychosz/Library/CloudStorage/Box-Box/box-group-lena-studies/Soundscape/wavFiles/005LTP1.its","L",2013-01-06 06:53:45,2013-01-06 22:53:44,2013-01-06,6,53,45,22,53,44,16,24825
"4","FALSE","40","2014-02-01T12:34:53Z","2014-02-02T04:34:52Z","0.00S","57599.99S","006LTP2","006LTP2.its","L",2014-02-01 06:34:53,2014-02-01 22:34:52,2014-02-01,6,34,53,22,34,52,16,23693
"5","M","39","2013-02-14T13:22:13Z","2013-02-15T05:22:12Z","0.00S","57599.99S","014LTP1","014LTP1.its","L",2013-02-14 07:22:13,2013-02-14 23:22:12,2013-02-14,7,22,13,23,22,12,16,26533
"6","M","32","2013-02-10T13:28:53Z","2013-02-11T05:28:52Z","0.00S","57599.99S","015LTP1","015LTP1.its","L",2013-02-10 07:28:53,2013-02-10 23:28:52,2013-02-10,7,28,53,23,28,52,16,26933
"7","FALSE","48","2014-01-12T14:11:28Z","2014-01-13T06:11:27Z","0.00S","57599.99S","019LTP2","019LTP2.its","L",2014-01-12 08:11:28,2014-01-13 00:11:27,2014-01-12,8,11,28,0,11,27,16,29488
"8","M","32","2013-03-30T13:46:47Z","2013-03-30T16:08:55Z","0.00S","57599.99S","024LTP1","024LTP1.its","L",2013-03-30 08:46:47,2013-03-30 11:08:55,2013-03-30,8,46,47,11,8,55,16,31607
"9","FALSE","49","2014-03-02T14:03:02Z","2014-03-03T06:03:01Z","0.00S","57599.99S","030LTP2","030LTP2.its","L",2014-03-02 08:03:02,2014-03-03 00:03:01,2014-03-02,8,3,2,0,3,1,16,28982
"10","M","51","2014-04-27T11:50:05Z","2014-04-28T03:50:04Z","0.00S","57599.99S","032LTP2","032LTP2.its","L",2014-04-27 06:50:05,2014-04-27 22:50:04,2014-04-27,6,50,5,22,50,4,16,24605
"11","M","49","2014-04-28T13:53:21Z","2014-04-29T05:53:20Z","0.00S","57599.99S","037LTP2","037LTP2.its","L",2014-04-28 08:53:21,2014-04-29 00:53:20,2014-04-28,8,53,21,0,53,20,16,32001
"12","FALSE","47","2014-07-05T14:33:09Z","2014-07-06T06:33:08Z","0.00S","57599.99S","068LTP2","068LTP2.its","L",2014-07-05 09:33:09,2014-07-06 01:33:08,2014-07-05,9,33,9,1,33,8,16,34389
"13","M","49","2014-08-17T14:50:37Z","2014-08-18T06:50:36Z","0.00S","57599.99S","074LTP2","074LTP2.its","L",2014-08-17 09:50:37,2014-08-18 01:50:36,2014-08-17,9,50,37,1,50,36,16,35437
"14","FALSE","52","2015-02-08T13:21:52Z","2015-02-09T05:21:51Z","0.00S","57599.99S","078LTP2","078LTP2.its","L",2015-02-08 07:21:52,2015-02-08 23:21:51,2015-02-08,7,21,52,23,21,51,16,26512
"15","M","29","2013-09-10T11:50:05Z","2013-09-11T03:50:04Z","0.00S","57599.99S","084LTP1","084LTP1.its","L",2013-09-10 06:50:05,2013-09-10 22:50:04,2013-09-10,6,50,5,22,50,4,16,24605
"16","M","30","2013-09-29T15:01:39Z","2013-09-30T07:01:38Z","0.00S","57599.99S","089LTP1","089LTP1.its","L",2013-09-29 10:01:39,2013-09-30 02:01:38,2013-09-29,10,1,39,2,1,38,16,36099
"17","FALSE","39","2013-10-09T13:17:03Z","2013-10-10T05:17:02Z","0.00S","57599.99S","097LTP1","097LTP1.its","L",2013-10-09 08:17:03,2013-10-10 00:17:02,2013-10-09,8,17,3,0,17,2,16,29823
"18","FALSE","39","2013-10-09T13:15:34Z","2013-10-10T05:15:33Z","0.00S","57599.99S","098LTP1","098LTP1.its","L",2013-10-09 08:15:34,2013-10-10 00:15:33,2013-10-09,8,15,34,0,15,33,16,29734
"19","FALSE","39","2013-10-09T13:13:38Z","2013-10-10T05:13:37Z","0.00S","57599.99S","099LTP1","/Users/megcychosz/Library/CloudStorage/Box-Box/box-group-lena-studies/Soundscape/wavFiles/099LTP1.its","L",2013-10-09 08:13:38,2013-10-10 00:13:37,2013-10-09,8,13,38,0,13,37,16,29618
"20","M","52","2014-11-15T13:00:58Z","2014-11-16T05:00:57Z","0.00S","57599.99S","100LTP2","100LTP2.its","L",2014-11-15 07:00:58,2014-11-15 23:00:57,2014-11-15,7,0,58,23,0,57,16,25258
"21","M","58","2014-03-08T12:39:02Z","2014-03-09T04:39:01Z","0.00S","57599.99S","300ECV1","300ECV1.its","E",2014-03-08 06:39:02,2014-03-08 22:39:01,2014-03-08,6,39,2,22,39,1,16,23942
"22","FALSE","53","2014-04-05T12:22:20Z","2014-04-06T04:22:19Z","0.00S","57599.99S","301ECV1","301ECV1.its","E",2014-04-05 07:22:20,2014-04-05 23:22:19,2014-04-05,7,22,20,23,22,19,16,26540
"23","FALSE","37","2015-02-04T13:46:15Z","2015-02-05T05:46:14Z","0.00S","57599.99S","302ECV1","302ECV1.its","E",2015-02-04 07:46:15,2015-02-04 23:46:14,2015-02-04,7,46,15,23,46,14,16,27975
"24","FALSE","65","2014-07-17T12:40:14Z","2014-07-18T04:40:13Z","0.00S","57599.99S","303ECV1","303ECV1.its","E",2014-07-17 07:40:14,2014-07-17 23:40:13,2014-07-17,7,40,14,23,40,13,16,27614
"25","FALSE","48","2014-08-16T12:51:38Z","2014-08-17T04:51:37Z","0.00S","57599.99S","304ECV1","304ECV1.its","E",2014-08-16 07:51:38,2014-08-16 23:51:37,2014-08-16,7,51,38,23,51,37,16,28298
"26","FALSE","49","2014-08-12T13:00:26Z","2014-08-13T05:00:25Z","0.00S","57599.99S","306ECV1","306ECV1.its","E",2014-08-12 08:00:26,2014-08-13 00:00:25,2014-08-12,8,0,26,0,0,25,16,28826
"27","M","44","2014-08-04T13:49:28Z","2014-08-05T05:49:27Z","0.00S","57599.99S","307ECV1","307ECV1.its","E",2014-08-04 08:49:28,2014-08-05 00:49:27,2014-08-04,8,49,28,0,49,27,16,31768
"28","FALSE","39","2015-09-13T11:59:15Z","2015-09-14T03:59:14Z","0.00S","57599.99S","308ECV1","308ECV1.its","E",2015-09-13 06:59:15,2015-09-13 22:59:14,2015-09-13,6,59,15,22,59,14,16,25155
"29","M","61","2014-12-18T13:23:53Z","2014-12-18T14:32:48Z","0.00S","57599.99S","309ECV1","309ECV1.its","E",2014-12-18 07:23:53,2014-12-18 08:32:48,2014-12-18,7,23,53,8,32,48,16,26633
"30","M","62","2014-11-15T14:49:51Z","2014-11-16T06:49:50Z","0.00S","57599.99S","311ECV1","311ECV1.its","E",2014-11-15 08:49:51,2014-11-16 00:49:50,2014-11-15,8,49,51,0,49,50,16,31791
"31","FALSE","44","2015-02-16T15:34:43Z","2015-02-17T07:34:42Z","0.00S","57599.99S","312ECV1","312ECV1.its","E",2015-02-16 09:34:43,2015-02-17 01:34:42,2015-02-16,9,34,43,1,34,42,16,34483
